cluster_id,asset_id,distinct_alarm_count,total_events,alarms_in_cluster,start_time,end_time
0,P-0300,2,3,"P-0300.PDI_HI,P-0300.PI_LO",2025-01-02 20:32:16,2025-01-02 20:45:52
1,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_HI",2025-01-03 08:26:38,2025-01-03 08:30:42
2,P-0300,2,2,"P-0300.SI_LO,P-0300.PDI_HI",2025-01-05 09:24:14,2025-01-05 09:39:12
3,P-0300,2,2,"P-0300.II_HI,P-0300.SI_LO",2025-01-05 13:09:57,2025-01-05 13:10:01
4,P-0300,2,2,"P-0300.TI_HI,P-0300.VI_HI",2025-01-09 15:43:42,2025-01-09 15:45:10
5,P-0300,2,2,"P-0300.FI_LO,P-0300.II_HI",2025-01-10 14:30:06,2025-01-10 14:31:34
6,P-0300,2,2,"P-0300.PI_HI,P-0300.FI_LO",2025-01-10 22:48:43,2025-01-10 23:17:52
7,P-0300,2,2,"P-0300.TI_HI,P-0300.PDI_HI",2025-01-11 08:17:15,2025-01-11 08:46:25
8,P-0300,2,3,"P-0300.II_HI,P-0300.TI_HI",2025-01-13 12:15:26,2025-01-13 12:40:55
9,P-0300,2,2,"P-0300.II_HI,P-0300.TI_HI",2025-01-13 14:04:17,2025-01-13 14:28:17
10,P-0300,2,2,"P-0300.PI_LO,P-0300.TI_HI",2025-01-14 11:24:04,2025-01-14 11:47:22
11,P-0300,2,2,"P-0300.PI_HI,P-0300.FI_LO",2025-01-15 04:18:13,2025-01-15 04:33:29
12,P-0300,5,5,"P-0300.PI_LO,P-0300.FI_LO,P-0300.VI_HI,P-0300.PDI_HI,P-0300.TI_HI",2025-01-16 14:22:30,2025-01-16 14:24:10
13,P-0300,2,2,"P-0300.TI_HI,P-0300.PDI_HI",2025-01-17 12:16:55,2025-01-17 12:18:49
14,P-0300,2,2,"P-0300.SI_LO,P-0300.FI_LO",2025-01-17 23:10:09,2025-01-17 23:13:28
15,P-0300,2,2,"P-0300.PI_LO,P-0300.PDI_HI",2025-01-18 07:04:07,2025-01-18 07:05:34
16,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-01-26 17:52:43,2025-01-26 18:01:10
17,P-0300,2,2,"P-0300.FI_LO,P-0300.II_HI",2025-01-31 09:34:41,2025-01-31 09:41:55
18,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-02-01 16:04:00,2025-02-01 16:16:48
19,P-0300,3,3,"P-0300.VI_HI,P-0300.FI_LO,P-0300.SI_LO",2025-02-02 12:28:12,2025-02-02 13:06:46
20,P-0300,2,2,"P-0300.PI_HI,P-0300.II_HI",2025-02-02 16:25:12,2025-02-02 16:36:50
21,P-0300,2,2,"P-0300.PDI_HI,P-0300.II_HI",2025-02-07 15:25:47,2025-02-07 15:30:09
22,P-0300,2,2,"P-0300.VI_HI,P-0300.FI_LO",2025-02-11 23:00:30,2025-02-11 23:21:29
23,P-0300,2,3,"P-0300.SI_LO,P-0300.PI_LO",2025-02-13 10:36:54,2025-02-13 10:49:29
24,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-02-15 12:41:04,2025-02-15 13:00:50
25,P-0300,2,2,"P-0300.II_HI,P-0300.FI_LO",2025-02-16 11:22:36,2025-02-16 11:24:52
26,P-0300,2,2,"P-0300.SI_LO,P-0300.TI_HI",2025-02-16 14:44:09,2025-02-16 15:11:08
27,P-0300,2,2,"P-0300.SI_LO,P-0300.PDI_HI",2025-02-18 09:04:25,2025-02-18 09:12:14
28,P-0300,2,2,"P-0300.VI_HI,P-0300.FI_LO",2025-02-19 00:42:03,2025-02-19 00:54:31
29,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-02-20 11:05:56,2025-02-20 11:25:45
30,P-0300,2,2,"P-0300.PI_LO,P-0300.VI_HI",2025-02-20 16:08:00,2025-02-20 16:25:16
31,P-0300,2,2,"P-0300.II_HI,P-0300.PI_HI",2025-02-21 19:24:59,2025-02-21 19:37:07
32,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_HI",2025-02-22 00:13:51,2025-02-22 00:42:54
33,P-0300,2,2,"P-0300.VI_HI,P-0300.SI_LO",2025-02-24 15:50:36,2025-02-24 15:56:23
34,P-0300,2,2,"P-0300.PI_LO,P-0300.PDI_HI",2025-02-26 08:51:25,2025-02-26 09:10:25
