asset_id,alarm_tag,alarm_description,priority,alarm_type,activation_time,ack_time,clear_time,duration_min,operator_id,area,is_test_case
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-01 05:43:56,2025-01-01 05:48:29,2025-01-01 06:02:48,18.9,OP04,Pumping_Station_A,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-01 10:14:14,2025-01-01 10:16:44,2025-01-01 10:17:10,2.9,OP02,Compressor_Building,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-01 10:16:26,2025-01-01 10:21:16,2025-01-01 10:32:55,16.5,OP03,Storage_Tank_Farm,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-01 11:18:28,2025-01-01 11:21:22,2025-01-01 11:28:52,10.4,OP04,Pumping_Station_A,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-01 20:22:26,2025-01-01 20:27:09,2025-01-01 20:27:06,4.7,OP03,Compressor_Building,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-01 22:15:54,2025-01-01 22:19:44,2025-01-01 22:25:53,10.0,OP02,Compressor_Building,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-02 07:44:07,2025-01-02 07:44:28,2025-01-02 08:03:09,19.0,OP04,Storage_Tank_Farm,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-02 09:22:47,2025-01-02 09:24:43,2025-01-02 09:53:38,30.9,OP01,Pumping_Station_A,
C-301,C-301.VI_HI,Compressor vibration high,1,HI,2025-01-02 10:40:22,2025-01-02 10:45:22,2025-01-02 10:42:53,2.5,OP01,Compressor_Building,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-02 14:04:38,2025-01-02 14:08:44,2025-01-02 14:19:48,15.2,OP05,Storage_Tank_Farm,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-02 15:07:25,2025-01-02 15:07:51,2025-01-02 15:45:36,38.2,OP05,Storage_Tank_Farm,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-02 16:44:11,2025-01-02 16:46:26,2025-01-02 17:16:35,32.4,OP04,Storage_Tank_Farm,
C-301,C-301.TI_HI,Discharge temp high,2,HI,2025-01-02 18:08:44,2025-01-02 18:09:02,2025-01-02 18:14:10,5.4,OP03,Compressor_Building,
C-301,C-301.PDI_HI,Filter delta-P high,4,HI,2025-01-03 05:20:19,2025-01-03 05:23:33,2025-01-03 06:34:19,74.0,OP02,Compressor_Building,
C-301,C-301.VI_HI,Compressor vibration high,1,HI,2025-01-03 07:27:36,2025-01-03 07:32:28,2025-01-03 07:31:30,3.9,OP01,Compressor_Building,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-03 09:41:21,2025-01-03 09:42:02,2025-01-03 09:43:31,2.2,OP01,Compressor_Building,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-03 10:14:37,2025-01-03 10:19:34,2025-01-03 10:17:35,3.0,OP05,Compressor_Building,
C-301,C-301.VI_HI,Compressor vibration high,1,HI,2025-01-03 11:03:21,2025-01-03 11:03:49,2025-01-03 11:07:22,4.0,OP01,Compressor_Building,
C-301,C-301.PDI_HI,Filter delta-P high,4,HI,2025-01-03 12:07:04,2025-01-03 12:08:22,2025-01-03 12:47:29,40.4,OP05,Compressor_Building,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-03 12:36:32,2025-01-03 12:40:38,2025-01-03 12:52:18,15.8,OP02,Compressor_Building,
C-301,C-301.TI_HI,Discharge temp high,2,HI,2025-01-03 16:40:56,2025-01-03 16:41:21,2025-01-03 16:53:09,12.2,OP04,Compressor_Building,
P-201,P-201.PI_HI,Discharge pressure high,3,HI,2025-01-03 17:45:06,2025-01-03 17:49:00,2025-01-03 18:09:54,24.8,OP04,Pumping_Station_A,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-03 21:22:25,2025-01-03 21:25:38,2025-01-03 21:26:05,3.7,OP03,Pumping_Station_A,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-04 01:10:08,2025-01-04 01:14:19,2025-01-04 01:25:59,15.9,OP03,Pumping_Station_A,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-04 01:33:58,2025-01-04 01:36:00,2025-01-04 01:39:36,5.6,OP02,Pumping_Station_A,
P-201,P-201.TI_HI,Motor temperature high,2,HI,2025-01-04 11:55:01,2025-01-04 11:57:37,2025-01-04 12:03:10,8.1,OP03,Pumping_Station_A,
P-201,P-201.PI_HI,Discharge pressure high,3,HI,2025-01-04 14:01:14,2025-01-04 14:04:13,2025-01-04 14:29:52,28.6,OP01,Pumping_Station_A,
P-201,P-201.PI_HI,Discharge pressure high,3,HI,2025-01-04 14:05:55,2025-01-04 14:09:25,2025-01-04 14:15:21,9.4,OP01,Pumping_Station_A,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-04 15:23:36,2025-01-04 15:28:05,2025-01-04 15:29:31,5.9,OP04,Pumping_Station_A,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-04 18:13:10,2025-01-04 18:16:35,2025-01-04 18:23:40,10.5,OP05,Compressor_Building,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-04 19:30:21,2025-01-04 19:33:41,2025-01-04 19:53:27,23.1,OP05,Pumping_Station_A,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-04 21:18:13,2025-01-04 21:18:29,2025-01-04 21:20:24,2.2,OP03,Compressor_Building,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-04 23:05:24,2025-01-04 23:08:39,2025-01-04 23:47:47,42.4,OP05,Storage_Tank_Farm,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-04 23:13:58,2025-01-04 23:14:11,2025-01-04 23:23:18,9.3,OP05,Storage_Tank_Farm,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-05 06:09:44,2025-01-05 06:14:34,2025-01-05 06:11:34,1.8,OP05,Storage_Tank_Farm,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-05 07:21:56,2025-01-05 07:24:51,2025-01-05 07:23:08,1.2,OP05,Compressor_Building,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-05 07:29:30,2025-01-05 07:29:58,2025-01-05 08:05:10,35.7,OP01,Storage_Tank_Farm,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-05 13:05:24,2025-01-05 13:07:21,2025-01-05 13:05:54,0.5,OP04,Storage_Tank_Farm,
C-301,C-301.VI_HI,Compressor vibration high,1,HI,2025-01-05 15:28:21,2025-01-05 15:31:10,2025-01-05 15:31:07,2.8,OP01,Compressor_Building,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-05 16:06:01,2025-01-05 16:06:36,2025-01-05 16:22:39,16.6,OP03,Pumping_Station_A,
P-201,P-201.TI_HI,Motor temperature high,2,HI,2025-01-05 16:58:17,2025-01-05 17:03:02,2025-01-05 17:02:39,4.4,OP04,Pumping_Station_A,
C-301,C-301.TI_HI,Discharge temp high,2,HI,2025-01-05 18:44:06,2025-01-05 18:45:11,2025-01-05 18:55:53,11.8,OP05,Compressor_Building,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-05 23:21:36,2025-01-05 23:26:21,2025-01-05 23:34:27,12.8,OP01,Storage_Tank_Farm,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-06 00:02:15,2025-01-06 00:04:03,2025-01-06 00:06:41,4.4,OP03,Pumping_Station_A,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-06 05:38:40,2025-01-06 05:43:26,2025-01-06 06:08:15,29.6,OP04,Storage_Tank_Farm,
P-201,P-201.TI_HI,Motor temperature high,2,HI,2025-01-06 06:54:32,2025-01-06 06:58:33,2025-01-06 07:04:38,10.1,OP04,Pumping_Station_A,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-06 07:45:49,2025-01-06 07:50:15,2025-01-06 08:22:29,36.7,OP02,Pumping_Station_A,
P-201,P-201.TI_HI,Motor temperature high,2,HI,2025-01-06 07:49:42,2025-01-06 07:52:17,2025-01-06 08:03:09,13.5,OP05,Pumping_Station_A,
P-201,P-201.TI_HI,Motor temperature high,2,HI,2025-01-06 08:15:14,2025-01-06 08:19:39,2025-01-06 08:25:32,10.3,OP03,Pumping_Station_A,
TK-101,TK-101.LI_HI,Tank level high (test),3,HI,2025-01-06 08:30:00,2025-01-06 08:30:36,2025-01-06 08:30:48,0.8,OP01,Storage_Tank_Farm,YES
TK-101,TK-101.LI_HI,Tank level high (test),3,HI,2025-01-06 08:31:12,2025-01-06 08:31:48,2025-01-06 08:32:00,0.8,OP01,Storage_Tank_Farm,YES
TK-101,TK-101.LI_HI,Tank level high (test),3,HI,2025-01-06 08:32:24,2025-01-06 08:33:00,2025-01-06 08:33:12,0.8,OP01,Storage_Tank_Farm,YES
TK-101,TK-101.LI_HI,Tank level high (test),3,HI,2025-01-06 08:33:36,2025-01-06 08:34:12,2025-01-06 08:34:24,0.8,OP01,Storage_Tank_Farm,YES
TK-101,TK-101.LI_HI,Tank level high (test),3,HI,2025-01-06 08:34:48,2025-01-06 08:35:24,2025-01-06 08:35:36,0.8,OP01,Storage_Tank_Farm,YES
TK-101,TK-101.LI_HI,Tank level high (test),3,HI,2025-01-06 08:36:00,2025-01-06 08:36:36,2025-01-06 08:36:48,0.8,OP01,Storage_Tank_Farm,YES
TK-101,TK-101.LI_HI,Tank level high (test),3,HI,2025-01-06 08:37:12,2025-01-06 08:37:48,2025-01-06 08:38:00,0.8,OP01,Storage_Tank_Farm,YES
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-06 10:24:06,2025-01-06 10:25:37,2025-01-06 10:33:21,9.3,OP02,Storage_Tank_Farm,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-06 14:45:47,2025-01-06 14:46:04,2025-01-06 14:48:27,2.7,OP02,Compressor_Building,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-07 10:22:47,2025-01-07 10:26:38,2025-01-07 10:26:25,3.6,OP03,Compressor_Building,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-07 11:08:54,2025-01-07 11:11:12,2025-01-07 11:22:59,14.1,OP03,Compressor_Building,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-07 16:24:53,2025-01-07 16:27:15,2025-01-07 17:00:02,35.2,OP01,Storage_Tank_Farm,
